[0.70177047 0.71050464]	[2.79786618 3.26326458]
[0.42287143 0.29628991]	[-1.05478139  4.3617613 ]
[0.11964216 0.00596511]	[ 0.20132664 -0.06132312]
[0.44176329 0.6508817 ]	[1.81605258 4.7377661 ]
[0.03230726 0.56244566]	[3.35166665 1.47748188]
[0.55925615 0.87058333]	[2.1441647  7.72858273]
[0.90290503 0.43092779]	[3.64430927 4.2345698 ]
[0.2388731  0.08601151]	[ 0.90789981 -0.808487  ]
[0.822937   0.12734901]	[0.80355337 3.52319018]
[0.44668861 0.11681238]	[0.61237471 1.13504532]
[0.86124789 0.61251212]	[1.5727536  5.96927205]
[0.99055495 0.04773888]	[0.09822223 3.52040091]
[0.85449267 0.01641105]	[0.73266622 3.07573251]
[0.77150515 0.48712464]	[1.88998678 4.57267524]
[0.63242885 0.8537245 ]	[3.1266006  7.26067156]
[0.80968878 0.14887695]	[-0.47191425  2.92775181]
[0.40162792 0.96450133]	[1.4308736 4.3239639]
[0.26913074 0.33364304]	[0.87098798 2.21679685]
[0.38536806 0.11346389]	[-0.48928568  1.74076751]
[0.02389759 0.31546612]	[-0.99971568  1.24111678]
[0.85646315 0.76751963]	[2.28164624 7.46938444]
[0.61723614 0.62097622]	[1.92366575 4.3320081 ]
[0.28813436 0.70430536]	[2.97995841 4.85278726]
[0.37112016 0.64551227]	[1.50744242 4.22733921]
[0.78988558 0.29139439]	[1.28603659 2.59735548]
[0.53245625 0.08720772]	[0.8458616  3.30884606]
[0.66756061 0.37608994]	[-1.11743066  2.51848809]
[0.46611841 0.66368921]	[1.9540892 4.1301581]
[0.03712786 0.33203846]	[1.55520497 1.88528892]
[0.71535893 0.78845744]	[3.92145857 4.58249986]
[0.37788693 0.16312517]	[-0.69084775  1.87913228]
[0.99216504 0.29890962]	[2.19756594 4.79204189]
[0.45031175 0.65202361]	[1.53164953 4.96494744]
[0.22118641 0.11544656]	[-1.15791419  1.85326464]
[0.00889969 0.75792892]	[2.38887312 2.75892817]
[0.65913215 0.01546773]	[0.01196764 2.53744486]
[0.39151447 0.80422495]	[-0.40602713  4.20365983]
[0.59776987 0.86741014]	[1.79414571 5.14886982]
[0.87542207 0.56691177]	[3.62998537 3.35258288]
[0.04742579 0.87638545]	[1.67406474 2.98859933]
[0.79977872 0.05040658]	[2.69732035 3.22148296]
[0.75405731 0.21908094]	[1.2554948  2.83655548]
[0.34804723 0.84219745]	[1.87384763 5.26853454]
[0.20140399 0.57102242]	[1.68075112 2.635638  ]
[0.30554602 0.89966104]	[2.34084372 4.88007085]
[0.1555108  0.56296409]	[2.06577467 3.74238387]
[0.96364877 0.42915005]	[2.4641889 4.4905075]
[0.60481206 0.6600927 ]	[2.30850044 4.01037444]
[0.54174936 0.4264067 ]	[0.93578367 3.49911644]
[0.33170841 0.91753437]	[3.25042902 3.96433176]
[0.36004359 0.83145808]	[1.4492664  1.87972096]
[0.60374283 0.26567535]	[0.7790138  2.75574693]
[0.33482055 0.21961662]	[-0.21990887 -0.18612095]
[0.33735463 0.54255464]	[2.45777621 4.17714926]
[0.34554013 0.76877682]	[1.49731797 5.72921005]
[0.69817728 0.00467299]	[2.67160551 2.68557474]
[0.38770445 0.84727493]	[1.24742142 4.79002049]
[0.99726596 0.20630179]	[1.14186999 5.20662818]
[0.57310913 0.98617948]	[2.54518587 5.00860274]
[0.1787511  0.40104063]	[ 1.40694687 -0.31355651]
[0.9572212  0.17244879]	[1.30798599 4.02918887]
[0.56414893 0.30118442]	[2.13205464 3.26359422]
[0.40310176 0.69427051]	[-0.66506829  4.44982877]
[0.38281502 0.6283129 ]	[1.71261478 4.36044095]
[0.44209616 0.54673816]	[0.82917255 5.56502069]
[0.15801487 0.18425168]	[0.21122479 0.12891337]
[0.85012438 0.2235081 ]	[0.51903752 2.83187699]
[0.7491507  0.43341935]	[1.23811272 5.34506764]
[0.87292184 0.07595154]	[0.48968764 3.34959712]
[0.25155699 0.85350055]	[1.07518169 4.62413404]
[0.38732498 0.37057423]	[1.17786361 2.13403282]
[0.43891449 0.54881971]	[1.23095247 4.98177542]
[0.90538848 0.84846863]	[4.5186149  4.61233734]
[0.57785996 0.48933344]	[1.93456143 5.45004101]
[0.92661998 0.90765159]	[2.73130518 6.27782726]
[0.15445243 0.08084544]	[-1.39116999  0.83702125]
[0.55899033 0.70087195]	[3.70946813 4.16287857]
[0.04029603 0.92366638]	[0.60614261 3.29003692]
[0.81424637 0.17858236]	[0.80157861 3.72173018]
